team_1,team_2,score_1,score_2,event,date
FAB,Tempo,15,3,Bay Area Ultimate Classic 2024,2024-06-15
Void Cat Rewind,Ultraviolet,15,1,Bay Area Ultimate Classic 2024,2024-06-15
FAB,Ultraviolet,15,0,Bay Area Ultimate Classic 2024,2024-06-15
Void Cat Rewind,Tempo,15,2,Bay Area Ultimate Classic 2024,2024-06-15
FAB,Void Cat Rewind,11,6,Bay Area Ultimate Classic 2024,2024-06-15
Tempo,Ultraviolet,9,4,Bay Area Ultimate Classic 2024,2024-06-15
Swell,Colorado Cutthroat: Youth Club U-20 Girls,6,11,Colorado Summer Solstice 2024,2024-06-22
COSMOS,Haboob,10,9,Colorado Summer Solstice 2024,2024-06-22
Trainwreck,Just Add Water,15,0,Colorado Summer Solstice 2024,2024-06-22
Trainwreck,COSMOS,12,5,Colorado Summer Solstice 2024,2024-06-22
Just Add Water,Colorado Cutthroat: Youth Club U-20 Girls,4,15,Colorado Summer Solstice 2024,2024-06-22
Venom,Haboob,11,5,Colorado Summer Solstice 2024,2024-06-22
Swell,Just Add Water,10,5,Colorado Summer Solstice 2024,2024-06-22
Trainwreck,Haboob,12,3,Colorado Summer Solstice 2024,2024-06-22
Venom,COSMOS,10,5,Colorado Summer Solstice 2024,2024-06-22
Trainwreck,Colorado Cutthroat: Youth Club U-20 Girls,11,7,Colorado Summer Solstice 2024,2024-06-22
COSMOS,Just Add Water,13,5,Colorado Summer Solstice 2024,2024-06-22
Venom,Swell,14,4,Colorado Summer Solstice 2024,2024-06-22
Venom,Just Add Water,15,5,Colorado Summer Solstice 2024,2024-06-22
COSMOS,Colorado Cutthroat: Youth Club U-20 Girls,3,14,Colorado Summer Solstice 2024,2024-06-22
Swell,Haboob,8,6,Colorado Summer Solstice 2024,2024-06-22
Haboob,Just Add Water,15,3,Colorado Summer Solstice 2024,2024-06-22
Venom,Colorado Cutthroat: Youth Club U-20 Girls,12,5,Colorado Summer Solstice 2024,2024-06-22
Trainwreck,Swell,14,5,Colorado Summer Solstice 2024,2024-06-22
Swell,COSMOS,12,4,Colorado Summer Solstice 2024,2024-06-22
Trainwreck,Venom,12,10,Colorado Summer Solstice 2024,2024-06-22
Haboob,Colorado Cutthroat: Youth Club U-20 Girls,5,12,Colorado Summer Solstice 2024,2024-06-22
Schwa,Oregon Downpour,13,5,Eugene Summer Solstice 2024,2024-06-22
Drift,Seattle Soul,13,2,Eugene Summer Solstice 2024,2024-06-22
Schwa,Seattle Soul,13,0,Eugene Summer Solstice 2024,2024-06-22
Drift,Oregon Downpour,5,12,Eugene Summer Solstice 2024,2024-06-22
Schwa,Drift,13,1,Eugene Summer Solstice 2024,2024-06-22
Oregon Downpour,Seattle Soul,13,1,Eugene Summer Solstice 2024,2024-06-22
Seattle END,PDXtra,12,10,Eugene Summer Solstice 2024,2024-06-22
FAB,Portland Rain Check,13,2,Eugene Summer Solstice 2024,2024-06-22
Seattle END,Portland Rain Check,13,1,Eugene Summer Solstice 2024,2024-06-22
FAB,PDXtra,13,6,Eugene Summer Solstice 2024,2024-06-22
Seattle END,FAB,10,8,Eugene Summer Solstice 2024,2024-06-22
PDXtra,Portland Rain Check,9,3,Eugene Summer Solstice 2024,2024-06-22
Schwa,Oregon Downpour,15,9,Eugene Summer Solstice 2024,2024-06-22
Schwa,Drift,15,2,Eugene Summer Solstice 2024,2024-06-22
Oregon Downpour,Seattle END,12,10,Eugene Summer Solstice 2024,2024-06-22
Schwa,Portland Rain Check,15,2,Eugene Summer Solstice 2024,2024-06-22
Drift,FAB,9,8,Eugene Summer Solstice 2024,2024-06-22
Oregon Downpour,PDXtra,13,7,Eugene Summer Solstice 2024,2024-06-22
Seattle Soul,Seattle END,4,15,Eugene Summer Solstice 2024,2024-06-22
Drift,Seattle END,8,11,Eugene Summer Solstice 2024,2024-06-22
FAB,PDXtra,W,0,Eugene Summer Solstice 2024,2024-06-22
Portland Rain Check,FAB,5,10,Eugene Summer Solstice 2024,2024-06-22
PDXtra,Seattle Soul,15,6,Eugene Summer Solstice 2024,2024-06-22
Portland Rain Check,Seattle Soul,6,9,Eugene Summer Solstice 2024,2024-06-22
Indy Rogue,Y'all,13,3,SCINNY 2024,2024-06-22
Indy Rogue,Sureshot,12,9,SCINNY 2024,2024-06-22
Sureshot,Y'all,9,7,SCINNY 2024,2024-06-22
Toronto Incognito,Bullseye,13,3,SCINNY 2024,2024-06-22
Lake Erie Walleye,Solstice,10,3,SCINNY 2024,2024-06-22
Toronto Incognito,Lake Erie Walleye,13,1,SCINNY 2024,2024-06-22
Solstice,Bullseye,12,7,SCINNY 2024,2024-06-22
Indy Rogue,Toronto Incognito,8,7,SCINNY 2024,2024-06-22
Sureshot,Lake Erie Walleye,5,8,SCINNY 2024,2024-06-22
Y'all,Solstice,9,4,SCINNY 2024,2024-06-22
Indy Rogue,Toronto Incognito,7,8,SCINNY 2024,2024-06-22
Indy Rogue,Lake Erie Walleye,9,1,SCINNY 2024,2024-06-22
Toronto Incognito,Y'all,13,1,SCINNY 2024,2024-06-22
Solstice,Lake Erie Walleye,3,10,SCINNY 2024,2024-06-22
Y'all,Sureshot,10,4,SCINNY 2024,2024-06-22
Lake Erie Walleye,Y'all,7,9,SCINNY 2024,2024-06-22
Solstice,Sureshot,1,9,SCINNY 2024,2024-06-22
Pizza Rat,Dissent,13,3,Scuffletown Throwdown 2024,2024-06-22
Agency,Pine Baroness,10,6,Scuffletown Throwdown 2024,2024-06-22
Brooklyn Book Club,Shiver,9,7,Scuffletown Throwdown 2024,2024-06-22
Wave,Virginia Rebellion,11,6,Scuffletown Throwdown 2024,2024-06-22
Brooklyn Book Club,Pizza Rat,8,9,Scuffletown Throwdown 2024,2024-06-22
Wave,Rogue,9,5,Scuffletown Throwdown 2024,2024-06-22
Virginia Rebellion,Dissent,10,4,Scuffletown Throwdown 2024,2024-06-22
Shiver,Pine Baroness,9,6,Scuffletown Throwdown 2024,2024-06-22
Pine Baroness,Virginia Rebellion,9,10,Scuffletown Throwdown 2024,2024-06-22
Dissent,Wave,3,13,Scuffletown Throwdown 2024,2024-06-22
Rogue,Brooklyn Book Club,2,11,Scuffletown Throwdown 2024,2024-06-22
Pizza Rat,Agency,7,12,Scuffletown Throwdown 2024,2024-06-22
Brooklyn Book Club,Virginia Rebellion,12,5,Scuffletown Throwdown 2024,2024-06-22
Shiver,Agency,11,5,Scuffletown Throwdown 2024,2024-06-22
Pine Baroness,Pizza Rat,9,8,Scuffletown Throwdown 2024,2024-06-22
Dissent,Rogue,6,12,Scuffletown Throwdown 2024,2024-06-22
Dissent,Shiver,4,10,Scuffletown Throwdown 2024,2024-06-22
Rogue,Virginia Rebellion,9,11,Scuffletown Throwdown 2024,2024-06-22
Pizza Rat,Wave,8,9,Scuffletown Throwdown 2024,2024-06-22
Agency,Brooklyn Book Club,6,5,Scuffletown Throwdown 2024,2024-06-22
Pizza Rat,Shiver,4,5,Scuffletown Throwdown 2024,2024-06-22
Agency,Virginia Rebellion,6,3,Scuffletown Throwdown 2024,2024-06-22
Brooklyn Book Club,Wave,0,15,Scuffletown Throwdown 2024,2024-06-22
Pine Baroness,Dissent,10,0,Scuffletown Throwdown 2024,2024-06-22
Vengeance,TWISTED,13,1,Texas 2 Finger 2024,2024-06-29
San Antonio Problems,Firewheel,10,5,Texas 2 Finger 2024,2024-06-29
Crush City,Inferno,13,2,Texas 2 Finger 2024,2024-06-29
Vengeance,San Antonio Problems,10,9,Texas 2 Finger 2024,2024-06-29
Crush City,Firewheel,11,2,Texas 2 Finger 2024,2024-06-29
FMP-PE,Inferno,13,0,Texas 2 Finger 2024,2024-06-29
TWISTED,Firewheel,9,5,Texas 2 Finger 2024,2024-06-29
Vengeance,Inferno,13,6,Texas 2 Finger 2024,2024-06-29
